,ASX code,Company name,GICs industry group,Listing date,Market Cap,market_cap,beta,industry_cap,industry_weight,weighted_beta,industry_beta
1,14D,1414 DEGREES LIMITED,Capital Goods,12/09/2018,9301550,9301550,0.27768956241729725,92779037735,0.00010025486604600858,2.7839729882520876e-05,0.9099567935722183
2,1AD,ADALTA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",22/08/2016,13771614,13771614,0.6202798463335994,104138713167,0.00013224298227994637,8.202765672730205e-05,0.8464389618170871
3,1AE,AURORA ENERGY METALS LIMITED,Materials,18/05/2022,20592330,20592330,1.2110155509194451,1009891818903,2.039062958482872e-05,2.469336952026569e-05,1.0750260251119568
4,1AI,ALGORAE PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",01/09/2004,28708932,28708932,0.42757800268004625,104138713167,0.00027567972684626403,0.0001178745869843063,0.8464389618170871
5,1CG,ONE CLICK GROUP LIMITED,Capital Goods,28/04/2017,13072861,13072861,0.7427089848132076,92779037735,0.00014090317510448148,0.00010465005413880707,0.9099567935722183
6,1MC,MORELLA CORPORATION LIMITED,Materials,08/01/2001,18421449,18421449,0.2851692178708578,1009891818903,1.8241012210605283e-05,5.201775185271075e-06,1.0750260251119568
7,1TT,THRIVE TRIBE TECHNOLOGIES LIMITED,Software & Services,09/07/2015,914192,914192,-0.3787040516725731,88152131966,1.037061701868539e-05,-3.927394683320698e-06,1.2989843852591967
8,29M,29METALS LIMITED,Materials,02/07/2021,843986908,843986908,1.5912257920679445,1009891818903,0.0008357201159593361,0.0013298194034645089,1.0750260251119568
9,360,LIFE360 INC.,Software & Services,10/05/2019,6844764551,6844764551,2.0401347001991246,88152131966,0.07764718105331819,0.15841070843951846,1.2989843852591967
10,3DA,AMAERO LTD,Capital Goods,06/12/2019,266723018,266723018,1.0813485384435033,92779037735,0.0028748198355088273,0.003108682227415863,0.9099567935722183
11,3DP,POINTERRA LIMITED,Software & Services,27/03/2008,37309533,37309533,1.2687073927882404,88152131966,0.00042324027981977983,0.0005369680719331182,1.2989843852591967
12,3PL,3P LEARNING LIMITED..,Consumer Services,09/07/2014,170566576,170566576,0.08401162785554168,83496805459,0.0020427916381035014,0.00017161825088676374,0.9363588553089106
13,4DS,4DS MEMORY LIMITED,Semiconductors & Semiconductor Equipment,09/12/2010,22669886,22669886,1.0720643684145752,1172050022,0.01934208060618082,0.020735955428889043,1.3410818066852537
14,4DX,4DMEDICAL LIMITED,Health Care Equipment & Services,07/08/2020,2426554432,2426554432,0.6546168761882338,195869793311,0.012388609754374644,0.008109793017723813,0.7240078018435547
15,5EA,5E ADVANCED MATERIALS INC.,Materials,01/03/2022,139895704,139895704,1.3977920101329702,1009891818903,0.00013852543547878464,0.00019362974691243545,1.0750260251119568
16,5GG,PENTANET LIMITED,Telecommunication Services,29/01/2021,11695635,11695635,0.8752656103042081,75987408263,0.00015391543503523954,0.00013471688718135665,0.5010118507198312
17,5GN,5G NETWORKS LIMITED.,Software & Services,14/12/1999,36464007,36464007,0.6634193264707681,88152131966,0.00041364861163044873,0.0002744224833234406,1.2989843852591967
19,88E,88 ENERGY LIMITED,Energy,20/01/2000,23147008,23147008,-0.37309021262515646,126672735205,0.00018273078229928634,-6.817506642120192e-05,1.0282868425662293
20,8CO,8COMMON LIMITED,Software & Services,27/08/2014,7619227,7619227,0.3297910664471262,88152131966,8.643270253450831e-05,2.8504733144762723e-05,1.2989843852591967
21,8IH,8I HOLDINGS LTD,Financial Services,17/12/2014,5222413,5222413,-0.05547879496467823,225859949849,2.312235083507047e-05,-1.282800161080231e-06,1.3141430087693993
